LLM,Benchmark,Max,Mean,STD,Q10,Q25,Q50,Q75,Q90,Skew,Kurt
qwen3-4b,mathhendrycks-test,0.9195938849340648,0.8759481853191737,0.9010678025440542,0.8607188703465981,0.8373205741626794,0.81330960438791,0.8299393161395728,0.8711634963239585,0.81853191737659,0.8152934998249504
qwen3-4b,gpqa-test,0.6210745522698875,0.6291822851589615,0.648396501457726,0.6137165070109676,0.6137998056365404,0.6177426072469805,0.6262390670553937,0.6439261418853256,0.6183812300430376,0.6246008607524642
qwen3-4b,scibench-test,0.6879474577008393,0.6503501370101344,0.6658692531860293,0.6626419033534863,0.6606150232699752,0.6408768648601627,0.6368926971423601,0.6497455526075421,0.618146231133922,0.6167195859249271
qwen3-4b,svamp-test,0.8660797902228882,0.8814384716238997,0.8767559468065181,0.855965536617344,0.846600486982581,0.8391084472747705,0.8647686832740212,0.8864955984266716,0.8879940063682338,0.8902416182805769
qwen3-4b,livemathbench-test,0.6666666666666666,0.6089015151515151,0.6193181818181819,0.6325757575757576,0.6051136363636365,0.6089015151515151,0.6117424242424242,0.6117424242424242,0.59375,0.5965909090909091
qwen3-4b,gsmsymbolic-test,0.7830464372123692,0.7631050788560045,0.7682232680944179,0.7373134670941505,0.7227007012166177,0.7301844488704476,0.7582816280411528,0.7571776196333697,0.7197578380423666,0.7058733108184477
qwen3-4b,theoremqa-test,0.674056988183247,0.614580301530939,0.6402220734617847,0.5922565341405204,0.5871194481634554,0.5780968042377321,0.5914561383083998,0.6166613306944526,0.5809709529076198,0.5823971127539438
qwen3-4b,olympiadbench-test,0.8471605032860013,0.8679129635304934,0.8848686450778085,0.8705370824394729,0.8631031429836211,0.852319355058399,0.8570674566690503,0.8732378179589335,0.8466412129260734,0.8483225218782988
qwen3-4b,matscibench-test,0.6694842991139287,0.6436482779075372,0.6586540243947652,0.612084306528751,0.6168158899640381,0.6200691432172913,0.6241380269158048,0.6438290141993845,0.6236467949430913,0.6255700144589034
ministral3-3b,gsm-test,0.7771239782829186,0.7823071415786648,0.7872591134180538,0.7741483205059363,0.7679210667621265,0.7726194737784142,0.7775341566732296,0.7754236024103573,0.7457416025296819,0.7368220869876498
ministral3-3b,mathhendrycks-test,0.7855603448275862,0.7511898347701149,0.7647719109195402,0.7886808548850573,0.7749416307471264,0.7557695761494252,0.7331851652298851,0.7504040948275862,0.7144845545977011,0.7112742456896551
ministral3-3b,gpqa-test,0.5697678865052962,0.5395204772284042,0.5631907001644297,0.5456770295590991,0.5298841344499254,0.5381056173760087,0.5478184390654277,0.5555045696149288,0.5369966731673741,0.5579901342204887
ministral3-3b,scibench-test,0.6680262981349793,0.6205733709020975,0.6348047766000269,0.6260029518314773,0.6222818551813587,0.6155463124468894,0.6103403551142716,0.6218524978755758,0.5904646898340713,0.5927903752403954
ministral3-3b,svamp-test,0.8244363636363636,0.8280727272727273,0.8328727272727273,0.7717818181818182,0.8016,0.8154181818181818,0.7997090909090908,0.8162909090909092,0.8026181818181818,0.8023272727272728
ministral3-3b,livemathbench-test,0.3686635944700461,0.402457757296467,0.3963133640552995,0.45775729646697394,0.4823348694316436,0.4516129032258065,0.40552995391705066,0.3901689708141321,0.41167434715821805,0.4086021505376345
ministral3-3b,gsmsymbolic-test,0.7277029655673773,0.7175420408001493,0.719386068206068,0.7155514716235681,0.73079285877441,0.730851788383253,0.7160959186291617,0.7148306269171678,0.6922116960150025,0.6846843511119965
ministral3-3b,theoremqa-test,0.6459867663981588,0.5988348676639816,0.6147871116225547,0.5898014959723821,0.5976769275028769,0.5852272727272727,0.5827387802071347,0.6032364787111624,0.574813003452244,0.5788046605293441
