llm,group,benchmark,auroc,aee,n,in_domain
qwen3-8b,intermediate,scibench-test,0.734403,0.059467,139,1
qwen3-8b,intermediate,theoremqa-test,0.630419,0.071565,747,0
qwen3-8b,intermediate,livemathbench-test,0.613095,0.263092,100,0
qwen3-8b,intermediate,matscibench-test,0.679575,0.006213,1025,0
gemma3-4b,extremes,gsm-test,0.762561,0.068611,264,1
gemma3-4b,extremes,gsmsymbolic-test,0.792609,0.039299,5000,0
gemma3-4b,extremes,svamp-test,0.848582,0.160933,300,0
gemma3-4b,extremes,mathhendrycks-test,0.858841,0.079499,500,0
gemma3-4b,extremes,olympiadbench-test,0.928824,0.093447,288,1
gemma3-4b,extremes,gpqa-test,0.512968,0.062841,448,0
gemma3-4b,extremes,scibench-test,0.835295,0.191851,692,0
gemma3-4b,extremes,theoremqa-test,0.662079,0.007767,747,0
gemma3-4b,extremes,livemathbench-test,0.570991,0.085567,100,0
gemma3-4b,extremes,matscibench-test,0.683985,0.141403,1025,0
gemma3-4b,intermediate,gsm-test,0.739462,0.260674,1319,0
gemma3-4b,intermediate,gsmsymbolic-test,0.763847,0.219683,5000,0
gemma3-4b,intermediate,svamp-test,0.823273,0.333948,300,0
gemma3-4b,intermediate,mathhendrycks-test,0.874623,0.146740,100,1
gemma3-4b,intermediate,olympiadbench-test,0.900680,0.052116,1438,0
gemma3-4b,intermediate,gpqa-test,0.609651,0.070193,448,0
gemma3-4b,intermediate,scibench-test,0.805785,0.131119,139,1
gemma3-4b,intermediate,theoremqa-test,0.676525,0.057432,747,0
gemma3-4b,intermediate,livemathbench-test,0.574055,0.093622,100,0
gemma3-4b,intermediate,matscibench-test,0.652372,0.081152,1025,0
gemma3-12b,extremes,gsm-test,0.825167,0.047614,264,1
gemma3-12b,extremes,gsmsymbolic-test,0.783624,0.044520,5000,0
gemma3-12b,extremes,svamp-test,0.867738,0.122862,300,0
gemma3-12b,extremes,mathhendrycks-test,0.874421,0.061532,500,0
gemma3-12b,extremes,olympiadbench-test,0.861386,0.043007,288,1
gemma3-12b,extremes,gpqa-test,0.581767,0.003762,448,0
gemma3-12b,extremes,scibench-test,0.736391,0.205807,692,0
gemma3-12b,extremes,theoremqa-test,0.649991,0.014513,747,0
gemma3-12b,extremes,livemathbench-test,0.459280,0.115512,100,0
gemma3-12b,extremes,matscibench-test,0.662610,0.149491,1025,0
gemma3-12b,intermediate,gsm-test,0.810513,0.214379,1319,0
gemma3-12b,intermediate,gsmsymbolic-test,0.754991,0.234622,5000,0
gemma3-12b,intermediate,svamp-test,0.861796,0.281624,300,0
gemma3-12b,intermediate,mathhendrycks-test,0.844375,0.107835,100,1
gemma3-12b,intermediate,olympiadbench-test,0.853059,0.046104,1438,0
gemma3-12b,intermediate,gpqa-test,0.594299,0.029671,448,0
gemma3-12b,intermediate,scibench-test,0.685253,0.095760,139,1
gemma3-12b,intermediate,theoremqa-test,0.665327,0.055205,747,0
gemma3-12b,intermediate,livemathbench-test,0.521780,0.139859,100,0
gemma3-12b,intermediate,matscibench-test,0.647778,0.082803,1025,0
llama3-8b,extremes,gsm-test,0.730737,0.030549,264,1
llama3-8b,extremes,gsmsymbolic-test,0.750467,0.023791,5000,0
llama3-8b,extremes,svamp-test,0.757968,0.089866,300,0
llama3-8b,extremes,mathhendrycks-test,0.852604,0.099138,500,0
llama3-8b,extremes,olympiadbench-test,0.726266,0.057777,288,1
llama3-8b,extremes,gpqa-test,0.587783,0.091143,448,0
llama3-8b,extremes,scibench-test,0.750937,0.123371,692,0
llama3-8b,extremes,theoremqa-test,0.685622,0.003238,747,0
llama3-8b,extremes,livemathbench-test,0.520737,0.035714,100,0
llama3-8b,extremes,matscibench-test,0.721351,0.156749,1025,0
llama3-8b,intermediate,gsm-test,0.727593,0.179429,1319,0
llama3-8b,intermediate,gsmsymbolic-test,0.713360,0.133432,5000,0
llama3-8b,intermediate,svamp-test,0.703305,0.273921,300,0
llama3-8b,intermediate,mathhendrycks-test,0.814532,0.104852,100,1
llama3-8b,intermediate,olympiadbench-test,0.739096,0.084019,1438,0
