llm,composition,es_mae,atc_mean,atc_std,atc_max,atc_q10,atc_q25,atc_q50,atc_q75,atc_q90,atc_skewness,atc_kurtosis,atc_se_sum,atc_nll_avg,atc_nll_max,atc_nll_sum,atc_lntp,atc_mtp,atc_ppl
phi3-3b,livemathbench-test+matscibench-test+scibench-test+svamp-test,0.0581849420116348,0.09334853160032788,0.06193197927976203,0.0763897132073919,0.06529366057989179,0.05062783935147601,0.09546628753152886,0.13309612869507934,0.10620203200866533,0.19818746714559352,0.2053041768831208,0.12501159737533926,0.09098524164934005,0.05687822815604306,0.12448013275287795,0.13071016023214943,0.05687822815604306,0.09098524164934005
phi3-3b,livemathbench-test+matscibench-test+svamp-test+theoremqa-test,0.0681356826795664,0.0772761065997194,0.05385580635227316,0.07745327782838606,0.06628099520387164,0.053158033287983034,0.08243200681654131,0.10636760493209654,0.08709283818316682,0.17060809554737683,0.1889549801338309,0.12071163112274674,0.083601887567072,0.05607405071660315,0.11838173656725662,0.13135506662148855,0.05607405071660315,0.083601887567072
phi3-3b,gpqa-test+mathhendrycks-test+olympiadbench-test+scibench-test,0.104987842597296,0.08053958503159467,0.05607165265385361,0.05130796319477575,0.07647532491814388,0.09229164042962014,0.0961104434832353,0.1137381017587851,0.09934645694659057,0.18303880861754956,0.20324675880487098,0.0892887018418003,0.08735223742606377,0.07513962814386495,0.0852211155371186,0.11535271348998899,0.07513962814386495,0.08735223742606377
phi3-3b,gpqa-test+mathhendrycks-test+olympiadbench-test+theoremqa-test,0.1085358564152833,0.06896141374800488,0.04367709175566472,0.05682432389077359,0.0634407171662195,0.4246556402455206,0.08553856191404274,0.09119846606393751,0.08122483110450597,0.1684563589276959,0.19083855023264984,0.09583035268772275,0.07325458182564644,0.08250326604369547,0.09252975061413463,0.11769366385968114,0.08250326604369547,0.07325458182564644
phi3-3b,gpqa-test+livemathbench-test+mathhendrycks-test+olympiadbench-test,0.1219975910374627,0.06816826596531875,0.0518810611951688,0.05020829231417996,0.08010602287034559,0.40769309954540545,0.09094649260089535,0.09574215661836401,0.08860697836266754,0.17836785484416867,0.19758547221948936,0.0889556391879029,0.08054792553646825,0.10737512870752733,0.08562151487293712,0.16721354036743383,0.10737512870752733,0.08054792553646825
phi3-3b,gpqa-test+mathhendrycks-test+matscibench-test+olympiadbench-test,0.1379527896816465,0.07706277910098341,0.04993914861205638,0.05513847783032353,0.0642002725281798,0.4118317326057734,0.07448468187125303,0.11882232073857439,0.09565750277248257,0.19780474678355037,0.21150103784683133,0.09988653370123216,0.07943404834769756,0.08995264224793528,0.09291409418579302,0.1276988024831221,0.08995264224793528,0.07943404834769756
phi3-3b,mathhendrycks-test+olympiadbench-test+scibench-test+theoremqa-test,0.1052914616504021,0.0881732012157456,0.060828015117609824,0.05934513115499997,0.07142354059973183,0.43215473532495274,0.09176239850673079,0.11374485428080601,0.10404403850568678,0.18593817749524033,0.20215132214221865,0.09777584966735621,0.09419562502807534,0.07302400544305292,0.09189889306844169,0.10395043267439392,0.07302400544305292,0.09419562502807534
phi3-3b,livemathbench-test+mathhendrycks-test+olympiadbench-test+scibench-test,0.0986175122564901,0.09057724780941634,0.06880773967508594,0.05013516253505855,0.08108695100380794,0.43702869896641633,0.09249260966184254,0.12362836416113329,0.10752773421722668,0.19604019497601605,0.2124256014861174,0.0892564161023328,0.09575747959432516,0.08215874454764469,0.08678844640092913,0.09550268695699285,0.08215874454764469,0.09575747959432516
phi3-3b,mathhendrycks-test+matscibench-test+olympiadbench-test+scibench-test,0.111647638661231,0.09666100767863325,0.0664927672958162,0.05656757430494277,0.07133406141569823,0.06777273390021932,0.08900902084474917,0.14053594264368235,0.11333627559896715,0.21169555301816806,0.22639168972575613,0.09838565731713408,0.09478773019760242,0.07627463544815125,0.09586268737521383,0.10401750855783702,0.07627463544815125,0.09478773019760242
phi3-3b,livemathbench-test+mathhendrycks-test+olympiadbench-test+theoremqa-test,0.1106180269304367,0.07714582725913102,0.051889997113213036,0.0602236096196036,0.06931668482939567,0.4320615194038976,0.08023973661456435,0.10054183913277477,0.0932351874331677,0.17509436240120307,0.19631990812071193,0.0943987110837665,0.08533846672260374,0.08923966770097232,0.08958560432674674,0.09735425306901799,0.08923966770097232,0.08533846672260374
