llm,composition,weighted_acc,mae
ministral3-3b,gsmsymbolic-test+olympiadbench-test+svamp-test,0.701113172541744,0.0893928217894824
ministral3-3b,gpqa-test+gsmsymbolic-test+svamp-test,0.7631578947368421,0.102052383381659
ministral3-3b,gsmsymbolic-test+scibench-test+svamp-test,0.764448153557271,0.1423594348055244
ministral3-3b,gsmsymbolic-test+svamp-test+theoremqa-test,0.7732065329749845,0.166331047275717
ministral3-3b,gsmsymbolic-test+livemathbench-test+svamp-test,0.8009259259259259,0.2055541540553446
ministral3-3b,gsmsymbolic-test+matscibench-test+svamp-test,0.7225296442687748,0.1041814597030885
ministral3-3b,gsmsymbolic-test+mathhendrycks-test+olympiadbench-test,0.6954954954954955,0.0967400476731393
ministral3-3b,gpqa-test+gsmsymbolic-test+mathhendrycks-test,0.7545187053383775,0.1089490849417754
ministral3-3b,gsmsymbolic-test+mathhendrycks-test+scibench-test,0.7561074096507168,0.148460652226166
ministral3-3b,gsmsymbolic-test+mathhendrycks-test+theoremqa-test,0.7646587952771663,0.1728053192873949
ministral3-3b,gsmsymbolic-test+livemathbench-test+mathhendrycks-test,0.7904017857142858,0.1842652882015547
ministral3-3b,gsmsymbolic-test+mathhendrycks-test+matscibench-test,0.7159003831417624,0.1084775710135352
ministral3-3b,gpqa-test+gsmsymbolic-test+olympiadbench-test,0.6554103122730573,0.0811580313991824
ministral3-3b,gsmsymbolic-test+olympiadbench-test+scibench-test,0.6601788532351394,0.096531976723228
ministral3-3b,gsmsymbolic-test+olympiadbench-test+theoremqa-test,0.6683487036714808,0.1088422894008679
ministral3-3b,gsmsymbolic-test+livemathbench-test+olympiadbench-test,0.6808795411089866,0.0885529887408111
ministral3-3b,gsmsymbolic-test+matscibench-test+olympiadbench-test,0.6293132328308207,0.0855081244455261
ministral3-3b,gpqa-test+gsmsymbolic-test+scibench-test,0.7116676847892486,0.1096397537713205
ministral3-3b,gpqa-test+gsmsymbolic-test+theoremqa-test,0.720686175580222,0.1180915325876842
ministral3-3b,gpqa-test+gsmsymbolic-test+livemathbench-test,0.7415502478593962,0.0969351639783331
ministral3-3b,gpqa-test+gsmsymbolic-test+matscibench-test,0.6734260332174585,0.0989143552438084
ministral3-3b,gsmsymbolic-test+scibench-test+theoremqa-test,0.723495145631068,0.1500499779983291
ministral3-3b,gsmsymbolic-test+livemathbench-test+scibench-test,0.7437945175911936,0.1258599814749206
ministral3-3b,gsmsymbolic-test+matscibench-test+scibench-test,0.6778336125069794,0.1134629001936372
ministral3-3b,gsmsymbolic-test+livemathbench-test+theoremqa-test,0.7530468248877485,0.1550444436032207
ministral3-3b,gsmsymbolic-test+matscibench-test+theoremqa-test,0.6863577625992247,0.1198065728689966
ministral3-3b,gsmsymbolic-test+livemathbench-test+matscibench-test,0.7016326530612245,0.0970502659876006
ministral3-3b,mathhendrycks-test+olympiadbench-test+svamp-test,0.47541899441340785,0.0609639525291519
ministral3-3b,gpqa-test+mathhendrycks-test+svamp-test,0.5821643286573146,0.0745962027203974
ministral3-3b,mathhendrycks-test+scibench-test+svamp-test,0.6169321039396479,0.122474481776122
ministral3-3b,mathhendrycks-test+svamp-test+theoremqa-test,0.65642683912692,0.143819887817876
ministral3-3b,livemathbench-test+mathhendrycks-test+svamp-test,0.7388888888888889,0.0796063503609533
ministral3-3b,mathhendrycks-test+matscibench-test+svamp-test,0.4986301369863014,0.077169241579774
ministral3-3b,gpqa-test+olympiadbench-test+svamp-test,0.3438215102974828,0.0711044321376352
ministral3-3b,olympiadbench-test+scibench-test+svamp-test,0.38908903757076685,0.0869385360917948
ministral3-3b,olympiadbench-test+svamp-test+theoremqa-test,0.4187216909914444,0.0978713593963547
ministral3-3b,livemathbench-test+olympiadbench-test+svamp-test,0.37551020408163266,0.0622355212965772
ministral3-3b,matscibench-test+olympiadbench-test+svamp-test,0.3384615384615385,0.0730483373375756
ministral3-3b,gpqa-test+scibench-test+svamp-test,0.42224152910512597,0.0950244513628485
ministral3-3b,gpqa-test+svamp-test+theoremqa-test,0.4702928870292887,0.1082757067379402
ministral3-3b,gpqa-test+livemathbench-test+svamp-test,0.415929203539823,0.0674131667467601
ministral3-3b,gpqa-test+matscibench-test+svamp-test,0.33709449929478136,0.0831765466018256
ministral3-3b,scibench-test+svamp-test+theoremqa-test,0.5158273381294964,0.132120129834276
ministral3-3b,livemathbench-test+scibench-test+svamp-test,0.5005727376861397,0.0985124603611135
ministral3-3b,matscibench-test+scibench-test+svamp-test,0.39243645381277126,0.0992429488945313
ministral3-3b,livemathbench-test+svamp-test+theoremqa-test,0.559432933478735,0.1245601401223774
ministral3-3b,matscibench-test+svamp-test+theoremqa-test,0.42788171394085694,0.099006057763339
ministral3-3b,livemathbench-test+matscibench-test+svamp-test,0.3763157894736842,0.0747104317603823
ministral3-3b,gpqa-test+mathhendrycks-test+olympiadbench-test,0.35744234800838576,0.0847475284405627
ministral3-3b,mathhendrycks-test+olympiadbench-test+scibench-test,0.3980028530670471,0.1003205554318655
ministral3-3b,mathhendrycks-test+olympiadbench-test+theoremqa-test,0.42524452724732187,0.1118991294724007
ministral3-3b,livemathbench-test+mathhendrycks-test+olympiadbench-test,0.38834355828220857,0.0733283507080143
ministral3-3b,mathhendrycks-test+matscibench-test+olympiadbench-test,0.349789029535865,0.089696418924455
ministral3-3b,gpqa-test+mathhendrycks-test+scibench-test,0.43249427917620137,0.1028845665581106
ministral3-3b,gpqa-test+mathhendrycks-test+theoremqa-test,0.4745387453874539,0.1177513383871251
ministral3-3b,gpqa-test+livemathbench-test+mathhendrycks-test,0.4331742243436754,0.0803196427107263
ministral3-3b,gpqa-test+mathhendrycks-test+matscibench-test,0.35424588086185044,0.0970008535122657
ministral3-3b,mathhendrycks-test+scibench-test+theoremqa-test,0.5148387096774194,0.1410339954164343
ministral3-3b,livemathbench-test+mathhendrycks-test+scibench-test,0.5014520813165537,0.0989416556690602
ministral3-3b,mathhendrycks-test+matscibench-test+scibench-test,0.4027072758037225,0.1107799048854732
