LLM,Benchmark,n_samples,Mean,STD,Max,Q10,Q25,Q50,Q75,Q90,Skew,Kurt,SE_sum,NLL_avg,NLL_max,NLL_sum,LNTP,MTP,PPL
ministral3-3b,mathhendrycks-test,500,0.7511898347701149,0.7647719109195402,0.7855603448275862,0.7886808548850573,0.7749416307471264,0.7557695761494252,0.7331851652298851,0.7504040948275862,0.7144845545977011,0.7112742456896551,0.8612383261494253,0.6167834051724137,0.3680630387931034,0.857085129310345,0.6167946300287356,0.3680630387931034,0.6167946300287355
ministral3-3b,olympiadbench-test,1438,0.8225052831578743,0.8076979003082649,0.7764327536400472,0.80990325520076,0.8229754357393513,0.8327880532774967,0.8259320653754435,0.81296409391419,0.8228857674635026,0.8198806684891138,0.8699640357509839,0.7864416719982938,0.43448157195757964,0.8661179937571493,0.7864416719982938,0.43448157195757964,0.7864416719982938
ministral3-8b,gsm-test,1319,0.7973650955317906,0.7969595805277353,0.7680831400064128,0.7745525189083159,0.7788622946490881,0.7967898300609215,0.7923103038533356,0.7891133367283426,0.7595767555027443,0.7440540183707727,0.7930458892095286,0.7086421848771196,0.5232841056979574,0.7538241007940548,0.7086421848771195,0.5232841056979574,0.7086421848771196
ministral3-8b,mathhendrycks-test,500,0.7653985507246376,0.7897485080988917,0.795902600170503,0.8034153878942881,0.7932917732310315,0.7577525575447569,0.7409686700767263,0.7597772804774083,0.7094256180733163,0.7052962489343564,0.8762254901960784,0.6660006393861894,0.5665760869565217,0.8742274083546462,0.6660006393861893,0.5665760869565217,0.6660006393861894
ministral3-8b,olympiadbench-test,1438,0.798118104694303,0.7903449623332304,0.7712218331827255,0.7943414365548616,0.8032957590747718,0.8108202319287205,0.7988130471561756,0.7896899846135742,0.7906491384267658,0.7855425324769038,0.8559359853640232,0.7690437547319364,0.6146843784483467,0.860045693021934,0.7690437547319365,0.6146843784483467,0.7690437547319364
gemma3-4b,gsm-test,1319,0.7117613797003111,0.7315778651656515,0.726726553062431,0.7353946590587812,0.7425334772663017,0.7275490271673477,0.6955046649703138,0.6943866142339424,0.6241486107898322,0.6087400724805305,0.7760364458837741,0.7058562726501657,0.689030894183566,0.7807206929344335,0.7058562726501658,0.6890308941835659,0.7058562726501658
gemma3-4b,mathhendrycks-test,500,0.6455631677677187,0.713033194682326,0.8453021776364081,0.8012600929777343,0.8099461707854172,0.771959872767311,0.6560435527281625,0.6080050566837942,0.4842590327053258,0.46996574504526556,0.8672212706957018,0.6328195090123154,0.7513253405105619,0.8633675882880678,0.6328195090123154,0.751325340510562,0.6328195090123154
gemma3-4b,olympiadbench-test,1438,0.822314181123667,0.8472733060350441,0.8327550533184784,0.890738356025639,0.8916441190514086,0.8753751103265666,0.829927799400981,0.8023295183250618,0.7273219220696541,0.7153154978079377,0.8768104408721948,0.8101109776742436,0.7245655665359629,0.8763850505693574,0.8101124245800355,0.7245655665359628,0.8101124245800355
gemma3-12b,gsm-test,1319,0.6899070756829379,0.7097327959396924,0.7402504105090313,0.7608318405732201,0.7643584863412449,0.7312472010747874,0.6891047171219585,0.6655750858337066,0.5870559038662487,0.5673701298701299,0.741603224361845,0.6827791461412152,0.7191091954022988,0.7377407075682938,0.6827791461412152,0.7191091954022988,0.6827791461412152
gemma3-12b,mathhendrycks-test,500,0.5522396293027361,0.6477272727272727,0.8333793027360988,0.8061286407766991,0.8321657105030891,0.7333682700794352,0.5661407766990292,0.5108120035304502,0.4044296116504854,0.39634819064430715,0.8879909532215359,0.5272506619593997,0.808776478375993,0.8825573698146514,0.5272506619594,0.808776478375993,0.5272506619593997
gemma3-12b,olympiadbench-test,1438,0.7891033429055297,0.8118488145202858,0.8195848059789412,0.848669556733672,0.8535545983359105,0.8376638318238715,0.7907462631617702,0.7711761836389073,0.7007745195493704,0.6913127715190339,0.8494864148442677,0.7757943082247258,0.7379243060157573,0.8477882703777337,0.7757943082247257,0.7379243060157573,0.7757943082247258
llama3-8b,gsm-test,1319,0.7318943432804819,0.7601995776500727,0.751999238385377,0.7541758983590666,0.7537950910475663,0.7097296268088347,0.711019178840961,0.7470227792009971,0.6456631240047082,0.6378046458492003,0.7876955964827252,0.7191719171917192,0.6758247940178633,0.7799150107318423,0.7191719171917191,0.6758247940178633,0.7191719171917192
llama3-8b,mathhendrycks-test,500,0.5557156810939777,0.6430641623032458,0.8403548381931436,0.6763222366335206,0.6613985364525788,0.5812557044723063,0.5090711117516132,0.5784374949960769,0.4448287457366574,0.4494403612432146,0.8861347296280284,0.5400073657747674,0.7957438631887399,0.8822757041520553,0.5400073657747674,0.7957438631887399,0.5400073657747674
llama3-8b,olympiadbench-test,1438,0.5263497876452786,0.5875028610666055,0.7465018692301824,0.5753363342743063,0.5860685130083161,0.537224383916991,0.4946364538033112,0.5392182294448259,0.4538745199766028,0.4578164339665828,0.8554818036163881,0.512708222069632,0.6973525597009231,0.8522723226774498,0.5127056788993158,0.6973525597009231,0.5127031357289997
oss-20b,gsm-test,1319,0.7444760951574408,0.747196345625786,0.6991172017348012,0.7243308440475275,0.7177483511689378,0.72326584032643,0.7475941180999307,0.748274180717017,0.744771216670516,0.7505838273410834,0.7886416711576462,0.33329483922293224,0.52060076474966,0.7863576872738471,0.33329483922293224,0.52060076474966,0.33329483922293224
oss-20b,mathhendrycks-test,500,0.7735606178811048,0.7770713059759713,0.813738492744578,0.7292869402402871,0.7448509907941957,0.7454361054766734,0.7702449680137308,0.7843267280386955,0.76763145576533,0.7749258854735528,0.9137150881572788,0.4126618817288188,0.5350873771259167,0.9070447807770323,0.4126618817288189,0.5350873771259167,0.4126618817288188
oss-20b,olympiadbench-test,1438,0.858294644048622,0.8498417573400097,0.7405258555958548,0.8479077910360364,0.8436674055971494,0.8420680493231117,0.8600194790838855,0.8642817735128279,0.8557751101922614,0.8607245502183928,0.8952710440828798,0.7640521274625207,0.40416708990852,0.8869237188718064,0.7640521274625207,0.4041670899085199,0.7640521274625207
